3 Needs Brewery and Taproom,3NeedsBreweryandTaproom,"185 Pearl St Burlington, VT 05401",4,2,pizza,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/3-needs-brewery-and-taproom-menu/1025 ,No,8026580889,4:00,10:00,4:00,10:00,4:00,10:00,4:00,10:00,4:00,10:00,4:00,10:00,Words are here
Ahli Baba's Kabob Shop,AhliBabasKabobShop,163 Main St Burlington VT 05401,3,2,wraps/mediterranian,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/ahli-babas-kabob-shop-menu/2604,Yes,8028625752,11:00,10:00,11:00,10:00,11:00,10:00,11:00,10:00,11:00,10:00,11:00,10:00,Words are here
Asian Bistro,AsianBistro,"25 Winooski Falls Way , Winooski, VT 05404",4,3,asian,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/asian-bistro-menu/1026,Yes,8026559800,11:00,9:45,11:00,9:45,11:00,9:45,11:00,3:00,4:00,9:45,12:00,9:15,Words are here
B. Good,B.Good,92 Church St Burlington VT 05401,4,2,burgers/salads/milkshakes,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/bgood-menu/3560,Yes,8024972056,11:00,8:45,11:00,8:45,11:00,8:45,11:00,8:45,11:00,8:45,11:00,7:30,Words are here
Bueno Y Sano,BuenoYSano,213 College St Burlington VT 05401,3,1,tex-mex/salads,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/bueno-y-sano-menu/1028,Yes,8028649900,11:00,8:30,11:00,8:30,11:00,8:30,11:00,8:30,11:00,8:30,11:00,8:30,Words are here
5 Guys,5Guys,49 Church St Burlington VT 05401,3,2,burgers/salads/milkshakes,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/five-guys-church-st-menu/6072,No,8028632100,11:00,9:45,11:00,9:45,11:00,9:45,11:00,9:45,11:00,9:45,11:00,9:45,Words are here
Fu Da,FuDa,187 Pearl St #1 Burlington VT 05401,2,2,asian,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/fu-da-menu/1029,Yes,8028643883,12:00,10:00,11:15,10:00,11:15,10:00,11:15,10:00,11:15,10:00,11:15,10:00,Words are here
Dave's Cosmic Subs,Dave'sCosmicSubs,150 Dorset Street South Burlington VT 05403,4,2,sandwiches/salads,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/daves-cosmic-subs-menu/6873,Yes,8024897827,11:00,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,8:00,12:00,8:00,Words are here
East West Cafe,EastWestCafe,2 N Winooski Ave Burlington VT 05401,4,2,asian/salads,Mr. Delivery,https://www.mrdelivery.com/order/restaurant/east-west-cafe-menu/1041,Yes,8025408145,11:00,8:45,11:00,8:45,11:00,8:45,11:00,9:45,11:00,9:45,closed,closed,Words are here
